维度	实体	状态/事件	边界值	期望表现(出处)	实测	结论	证据
S1数值	unit_cs:mega-knight	life_ms ↔ 官方 life_time	0	MegaKnight:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	load_time_ms ↔ 官方 load_time	1200	MegaKnight:load_time = 1200	ours=1200 official=1200	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	mass ↔ 官方 mass	18	MegaKnight:mass = 18	ours=18 official=18	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=超级骑士	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-knight	only_buildings ↔ 官方 target_only_buildings	0	MegaKnight:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	only_towers ↔ 官方 target_only_towers	0	MegaKnight:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	only_troops ↔ 官方 target_only_troops	0	MegaKnight:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	radius_mt ↔ 官方 collision_radius	750	MegaKnight:collision_radius = 750	ours=750 official=750	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	range_mt ↔ 官方 range	1200	MegaKnight:range = 1200	ours=1200 official=1200	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	sight_mt ↔ 官方 sight_range	5500	MegaKnight:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	1	MegaKnight:spawn_interval/spawn_pause_time = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	spawn_limit ↔ 官方 spawn_limit	1	MegaKnight:spawn_limit = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	spawn_n ↔ 官方 spawn_number	1	MegaKnight:spawn_number = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	spawn_radius_mt ↔ 官方 spawn_radius	0	MegaKnight:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	speed ↔ 官方 speed	60	MegaKnight:speed = 60	ours=60 official=60	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-knight	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_mega_knight_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-knight	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-knight	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=mega-knight	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-knight	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=1	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-knight	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-minion	aoe_radius_mt ↔ 官方 area_damage_radius	0	MegaMinion:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	atk_air ↔ 官方 attacks_air	1	MegaMinion:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	atk_ground ↔ 官方 attacks_ground	1	MegaMinion:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	damage ↔ 官方 damage_per_level	311	MegaMinion:damage_per_level = 311	ours=311 official=311	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	MegaMinion:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	death_damage ↔ 官方 death_damage	0	MegaMinion:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	death_spawn_n ↔ 官方 death_spawn_count	0	MegaMinion:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	deploy_ms ↔ 官方 deploy_time	1000	MegaMinion:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	flying ↔ 官方 flying_height	1	MegaMinion:flying_height = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	hit_speed_ms ↔ 官方 hit_speed	1500	MegaMinion:hit_speed = 1500	ours=1500 official=1500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	hp ↔ 官方 hitpoints_per_level	837	MegaMinion:hitpoints_per_level = 837	ours=837 official=837	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	id (本项目自定列)	-	本项目自定：id	ours=26020039	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-minion	key (本项目自定列)	-	本项目自定：key	ours=mega-minion	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-minion	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-minion	life_ms ↔ 官方 life_time	0	MegaMinion:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	load_time_ms ↔ 官方 load_time	1100	MegaMinion:load_time = 1100	ours=1100 official=1100	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	mass ↔ 官方 mass	6	MegaMinion:mass = 6	ours=6 official=6	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=重甲亡灵	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-minion	only_buildings ↔ 官方 target_only_buildings	0	MegaMinion:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	only_towers ↔ 官方 target_only_towers	0	MegaMinion:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	only_troops ↔ 官方 target_only_troops	0	MegaMinion:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	projectile_key ↔ 官方 custom_first_projectile/projectile	MegaMinionSpit	MegaMinion:custom_first_projectile/projectile = MegaMinionSpit	ours=MegaMinionSpit official=MegaMinionSpit	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	radius_mt ↔ 官方 collision_radius	600	MegaMinion:collision_radius = 600	ours=600 official=600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	range_mt ↔ 官方 range	1600	MegaMinion:range = 1600	ours=1600 official=1600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	sight_mt ↔ 官方 sight_range	5500	MegaMinion:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	MegaMinion:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	spawn_limit ↔ 官方 spawn_limit	0	MegaMinion:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	spawn_n ↔ 官方 spawn_number	0	MegaMinion:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	spawn_radius_mt ↔ 官方 spawn_radius	0	MegaMinion:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	speed ↔ 官方 speed	60	MegaMinion:speed = 60	ours=60 official=60	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mega-minion	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_mega_minion_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-minion	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-minion	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=mega-minion	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-minion	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=1	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mega-minion	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:miner	aoe_radius_mt ↔ 官方 area_damage_radius	0	Miner:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	atk_air ↔ 官方 attacks_air	0	Miner:attacks_air = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	atk_ground ↔ 官方 attacks_ground	1	Miner:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	damage ↔ 官方 damage_per_level	193	Miner:damage_per_level = 193	ours=193 official=193	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	Miner:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	death_damage ↔ 官方 death_damage	0	Miner:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	death_spawn_n ↔ 官方 death_spawn_count	0	Miner:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	deploy_ms ↔ 官方 deploy_time	1000	Miner:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	flying ↔ 官方 flying_height	0	Miner:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	hit_speed_ms ↔ 官方 hit_speed	1200	Miner:hit_speed = 1200	ours=1200 official=1200	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	hp ↔ 官方 hitpoints_per_level	1210	Miner:hitpoints_per_level = 1210	ours=1210 official=1210	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	id (本项目自定列)	-	本项目自定：id	ours=26020036	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:miner	key (本项目自定列)	-	本项目自定：key	ours=miner	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:miner	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:miner	life_ms ↔ 官方 life_time	0	Miner:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	load_time_ms ↔ 官方 load_time	700	Miner:load_time = 700	ours=700 official=700	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	mass ↔ 官方 mass	6	Miner:mass = 6	ours=6 official=6	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=掘地矿工	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:miner	only_buildings ↔ 官方 target_only_buildings	0	Miner:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	only_towers ↔ 官方 target_only_towers	0	Miner:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	only_troops ↔ 官方 target_only_troops	0	Miner:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	radius_mt ↔ 官方 collision_radius	500	Miner:collision_radius = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	range_mt ↔ 官方 range	1200	Miner:range = 1200	ours=1200 official=1200	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	sight_mt ↔ 官方 sight_range	5500	Miner:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	Miner:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	spawn_limit ↔ 官方 spawn_limit	0	Miner:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	spawn_n ↔ 官方 spawn_number	0	Miner:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	spawn_radius_mt ↔ 官方 spawn_radius	0	Miner:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	speed ↔ 官方 speed	90	Miner:speed = 90	ours=90 official=90	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:miner	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_miner_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:miner	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:miner	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=miner	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:miner	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=1	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:miner	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mini-pekka	aoe_radius_mt ↔ 官方 area_damage_radius	0	MiniPekka:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	atk_air ↔ 官方 attacks_air	0	MiniPekka:attacks_air = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	atk_ground ↔ 官方 attacks_ground	1	MiniPekka:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	damage ↔ 官方 damage_per_level	720	MiniPekka:damage_per_level = 720	ours=720 official=720	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	MiniPekka:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	death_damage ↔ 官方 death_damage	0	MiniPekka:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	death_spawn_n ↔ 官方 death_spawn_count	0	MiniPekka:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	deploy_ms ↔ 官方 deploy_time	1000	MiniPekka:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	flying ↔ 官方 flying_height	0	MiniPekka:flying_height = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	hit_speed_ms ↔ 官方 hit_speed	1600	MiniPekka:hit_speed = 1600	ours=1600 official=1600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	hp ↔ 官方 hitpoints_per_level	1361	MiniPekka:hitpoints_per_level = 1361	ours=1361 official=1361	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	id (本项目自定列)	-	本项目自定：id	ours=26020026	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mini-pekka	key (本项目自定列)	-	本项目自定：key	ours=mini-pekka	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mini-pekka	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mini-pekka	life_ms ↔ 官方 life_time	0	MiniPekka:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	load_time_ms ↔ 官方 load_time	1100	MiniPekka:load_time = 1100	ours=1100 official=1100	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	mass ↔ 官方 mass	4	MiniPekka:mass = 4	ours=4 official=4	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=迷你皮卡	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mini-pekka	only_buildings ↔ 官方 target_only_buildings	0	MiniPekka:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	only_towers ↔ 官方 target_only_towers	0	MiniPekka:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	only_troops ↔ 官方 target_only_troops	0	MiniPekka:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	radius_mt ↔ 官方 collision_radius	450	MiniPekka:collision_radius = 450	ours=450 official=450	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	range_mt ↔ 官方 range	800	MiniPekka:range = 800	ours=800 official=800	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	sight_mt ↔ 官方 sight_range	5500	MiniPekka:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	MiniPekka:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	spawn_limit ↔ 官方 spawn_limit	0	MiniPekka:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	spawn_n ↔ 官方 spawn_number	0	MiniPekka:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	spawn_radius_mt ↔ 官方 spawn_radius	0	MiniPekka:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	speed ↔ 官方 speed	90	MiniPekka:speed = 90	ours=90 official=90	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:mini-pekka	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_mini_pekka_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mini-pekka	summon_deploy_delay_ms (本项目自定列)	-	本项目自定：summon_deploy_delay_ms	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mini-pekka	summon_key (本项目自定列)	-	本项目自定：summon_key	ours=mini-pekka	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mini-pekka	summon_n (本项目自定列)	-	本项目自定：summon_n	ours=1	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:mini-pekka	summon_radius_mt (本项目自定列)	-	本项目自定：summon_radius_mt	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minion-horde	aoe_radius_mt ↔ 官方 area_damage_radius	0	Minion:area_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	atk_air ↔ 官方 attacks_air	1	Minion:attacks_air = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	atk_ground ↔ 官方 attacks_ground	1	Minion:attacks_ground = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	damage ↔ 官方 damage_per_level	117	Minion:damage_per_level = 117	ours=117 official=117	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	death_aoe_radius_mt ↔ 官方 death_damage_radius	0	Minion:death_damage_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	death_damage ↔ 官方 death_damage	0	Minion:death_damage = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	death_spawn_n ↔ 官方 death_spawn_count	0	Minion:death_spawn_count = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	deploy_ms ↔ 官方 deploy_time	1000	Minion:deploy_time = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	flying ↔ 官方 flying_height	1	Minion:flying_height = 1	ours=1 official=1	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	hit_speed_ms ↔ 官方 hit_speed	1000	Minion:hit_speed = 1000	ours=1000 official=1000	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	hp ↔ 官方 hitpoints_per_level	230	Minion:hitpoints_per_level = 230	ours=230 official=230	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	id (本项目自定列)	-	本项目自定：id	ours=26020012	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minion-horde	key (本项目自定列)	-	本项目自定：key	ours=minion-horde	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minion-horde	kind (本项目自定列)	-	本项目自定：kind	ours=0	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minion-horde	life_ms ↔ 官方 life_time	0	Minion:life_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	load_time_ms ↔ 官方 load_time	500	Minion:load_time = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	mass ↔ 官方 mass	2	Minion:mass = 2	ours=2 official=2	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	name_cn (本项目自定列)	-	本项目自定：name_cn	ours=亡灵大军	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
S1数值	unit_cs:minion-horde	only_buildings ↔ 官方 target_only_buildings	0	Minion:target_only_buildings = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	only_towers ↔ 官方 target_only_towers	0	Minion:target_only_towers = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	only_troops ↔ 官方 target_only_troops	0	Minion:target_only_troops = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	projectile_key ↔ 官方 custom_first_projectile/projectile	MinionSpit	Minion:custom_first_projectile/projectile = MinionSpit	ours=MinionSpit official=MinionSpit	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	radius_mt ↔ 官方 collision_radius	500	Minion:collision_radius = 500	ours=500 official=500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	range_mt ↔ 官方 range	1600	Minion:range = 1600	ours=1600 official=1600	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	sight_mt ↔ 官方 sight_range	5500	Minion:sight_range = 5500	ours=5500 official=5500	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	spawn_interval_ms ↔ 官方 spawn_interval/spawn_pause_time	0	Minion:spawn_interval/spawn_pause_time = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	spawn_limit ↔ 官方 spawn_limit	0	Minion:spawn_limit = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	spawn_n ↔ 官方 spawn_number	0	Minion:spawn_number = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	spawn_radius_mt ↔ 官方 spawn_radius	0	Minion:spawn_radius = 0	ours=0 official=0	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	speed ↔ 官方 speed	90	Minion:speed = 90	ours=90 official=90	一致	coverage-enumerate.py (cards_stats_* / rarities)
S1数值	unit_cs:minion-horde	sprite_dir (本项目自定列)	-	本项目自定：sprite_dir	ours=chr_minion_out	允许的差异(本项目自定列)	差异登记 D22 / docs/步骤文档.md §4.2
